i,Process10,Process20,Process30
0,0,1,0
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
10,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,2,2,2
55,2,2,2
56,2,2,2
57,2,2,2
58,2,2,2
59,2,2,2
60,2,2,2
61,2,2,2
62,2,2,2
63,2,2,2
64,2,2,2
65,2,2,2
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,2,2,2
71,3,2,2
72,3,2,2
73,3,2,2
74,3,2,2
75,3,2,2
76,3,2,2
77,3,2,2
78,3,2,2
79,3,2,2
80,3,3,3
81,3,3,3
82,3,3,3
83,3,3,3
84,3,3,3
85,3,3,3
86,3,3,3
87,3,3,3
88,3,3,3
89,3,3,3
90,3,3,3
91,3,3,3
92,3,3,3
93,3,3,3
94,3,3,3
95,3,3,3
96,3,3,3
97,3,3,3
98,3,3,3
99,3,3,3
100,3,3,3
101,3,3,3
102,3,3,3
103,3,4,4
104,3,4,4
105,3,4,4
106,3,4,4
107,3,4,4
108,3,4,4
109,3,4,4
110,3,4,4
111,3,4,4
112,3,4,4
113,3,4,4
114,3,4,4
115,3,4,4
116,3,4,4
117,3,4,4
118,3,4,4
119,3,4,4
120,3,4,4
121,3,4,4
122,3,4,4
123,3,4,4
124,3,4,5
125,3,4,5
126,3,4,5
127,3,4,5
128,3,4,5
129,3,4,5
130,3,5,5
131,3,5,5
132,3,5,5
133,3,5,5
134,3,5,5
135,3,5,5
136,3,5,5
137,3,5,5
138,3,5,5
139,3,5,5
140,3,5,5
141,3,5,5
142,3,5,5
143,3,5,5
144,3,5,6
145,3,5,6
146,3,5,6
147,3,5,6
148,3,5,6
149,3,5,6
150,3,5,6
151,3,5,6
152,3,5,6
153,3,5,6
154,3,5,6
155,3,5,6
156,3,5,6
157,3,5,6
158,3,5,6
159,3,5,6
160,3,5,6
161,3,5,6
162,3,5,6
163,3,5,6
164,3,5,6
165,3,5,6
166,3,5,6
167,3,5,6
168,3,5,6
169,3,5,6
170,3,5,6
171,4,5,6
172,4,5,6
173,4,5,6
174,4,5,6
175,4,5,6
176,4,5,6
177,4,5,6
178,4,6,6
179,4,6,6
180,4,6,6
181,4,6,6
182,4,6,6
183,4,6,6
184,4,6,6
185,4,6,6
186,4,6,6
187,4,6,6
188,4,6,6
189,4,6,6
190,4,6,6
191,4,6,6
192,4,6,6
193,4,6,6
194,4,6,6
195,4,6,6
196,4,6,6
197,4,6,6
198,4,6,6
199,4,6,6
200,4,6,6
201,4,6,6
202,4,6,6
203,4,6,6
204,4,6,6
205,4,6,6
206,4,6,6
207,4,7,6
208,4,7,6
209,4,7,6
210,4,7,6
211,4,7,6
212,4,7,6
213,4,7,6
214,4,7,6
215,4,7,6
216,4,7,6
217,4,7,6
218,4,7,6
219,4,7,6
220,4,7,6
221,4,7,6
222,4,7,6
223,4,7,6
224,4,7,7
225,4,7,7
226,4,7,7
227,4,7,7
228,4,7,7
229,4,7,7
230,4,7,7
231,4,7,7
232,5,8,10
233,5,8,10
234,5,8,10
235,5,8,10
236,5,8,10
237,5,8,10
238,5,8,10
239,5,8,10
240,5,8,10
241,5,8,10
242,5,8,10
243,5,8,10
244,5,8,10
245,5,8,10
246,5,8,10
247,5,8,10
248,5,8,10
249,5,8,10
250,5,8,10
251,5,8,10
252,5,8,10
253,5,8,10
254,5,8,10
255,5,8,10
256,5,8,10
257,6,8,10
258,6,8,10
259,6,8,10
260,6,8,10
261,6,8,10
262,6,8,10
263,6,8,10
264,6,8,10
265,6,8,10
266,6,8,10
267,6,8,10
268,6,8,10
269,6,8,10
270,6,8,10
271,6,8,10
272,6,8,10
273,6,10,13
274,6,10,13
275,6,10,13
276,6,10,13
277,6,10,13
278,6,10,13
279,6,10,13
280,6,10,13
281,6,10,13
282,6,10,13
283,6,10,13
284,6,10,13
285,6,10,13
286,6,10,13
287,6,10,13
288,6,11,13
289,6,11,13
290,6,11,13
291,6,11,13
292,6,11,13
293,6,11,13
294,6,11,13
295,6,11,13
296,6,11,13
297,6,11,13
298,6,11,13
299,6,11,13
300,6,11,13
301,6,11,13
302,6,11,13
303,6,11,13
304,6,12,13
305,6,12,13
306,6,12,13
307,6,12,13
308,6,12,13
309,6,12,13
310,6,12,13
311,7,12,14
312,7,12,14
313,7,12,14
314,7,12,14
315,7,12,14
316,7,12,14
317,7,12,14
318,7,12,14
319,7,12,17
320,7,12,17
321,7,12,17
322,7,12,17
323,7,12,17
324,7,12,17
325,7,12,17
326,7,12,17
327,7,12,18
328,7,12,18
329,7,12,18
330,7,12,18
331,7,12,18
332,7,12,18
333,7,12,18
334,7,12,18
335,7,12,18
336,7,12,18
337,7,12,18
338,7,12,18
339,7,12,18
340,7,12,18
341,7,12,18
342,7,12,19
343,7,12,19
344,7,12,19
345,7,12,19
346,7,12,19
347,7,12,19
